weight strategy	cnn keep prob	cnn filter shapes	cnn pool	do attention	norm type	dnn nonlin	zscore	opt/ lr	lr decay rate	lr decay delay	input keep prob	grad clip	exclude pre onsets	exclude post onsets	Pooling Method	do transformer	d model	num transformer layers	num heads	ff dim	micro xentropy avg	micro pos xentropy avg	micro auroc	micro auprc	micro fscore	micro precision	micro recall	micro threshold	micro accuracy	perchart xentropy avg	perchart xentropy avg sd	perchart xentropy avg min	perchart xentropy avg max	perchart pos xentropy avg	perchart pos xentropy avg sd	perchart pos xentropy avg min	perchart pos xentropy avg max	perchart auroc	perchart auroc sd	perchart auroc min	perchart auroc max	perchart auprc	perchart auprc sd	perchart auprc min	perchart auprc max	perchart fscore	perchart fscore sd	perchart fscore min	perchart fscore max	perchart precision	perchart precision sd	perchart precision min	perchart precision max	perchart recall	perchart recall sd	perchart recall min	perchart recall max	perchart threshold	perchart threshold sd	perchart threshold min	perchart threshold max	perchart accuracy	perchart accuracy sd	perchart accuracy min	perchart accuracy max	perchart perplexity	perchart perplexity sd	perchart perplexity min	perchart perplexity max	perchart density rel	perchart density rel sd	perchart density rel min	perchart density rel max	perchart fscore diff perchart	perchart fscore diff perchart sd	perchart fscore diff perchart min	perchart fscore diff perchart max	perchart precision diff perchart	perchart precision diff perchart sd	perchart precision diff perchart min	perchart precision diff perchart max	perchart recall diff perchart	perchart recall diff perchart sd	perchart recall diff perchart min	perchart recall diff perchart max	perchart threshold diff perchart	perchart threshold diff perchart sd	perchart threshold diff perchart min	perchart threshold diff perchart max	perchart fscore all perchart	perchart fscore all perchart sd	perchart fscore all perchart min	perchart fscore all perchart max	perchart precision all perchart	perchart precision all perchart sd	perchart precision all perchart min	perchart precision all perchart max	perchart recall all perchart	perchart recall all perchart sd	perchart recall all perchart min	perchart recall all perchart max	perchart threshold all perchart	perchart threshold all perchart sd	perchart threshold all perchart min	perchart threshold all perchart max	perchart fscore diff micro	perchart fscore diff micro sd	perchart fscore diff micro min	perchart fscore diff micro max	perchart precision diff micro	perchart precision diff micro sd	perchart precision diff micro min	perchart precision diff micro max	perchart recall diff micro	perchart recall diff micro sd	perchart recall diff micro min	perchart recall diff micro max	perchart threshold diff micro	perchart threshold diff micro sd	perchart threshold diff micro min	perchart threshold diff micro max	perchart fscore all micro	perchart fscore all micro sd	perchart fscore all micro min	perchart fscore all micro max	perchart precision all micro	perchart precision all micro sd	perchart precision all micro min	perchart precision all micro max	perchart recall all micro	perchart recall all micro sd	perchart recall all micro min	perchart recall all micro max	perchart threshold all micro	perchart threshold all micro sd	perchart threshold all micro min	perchart threshold all micro max	rnn cell type	dnn keep prob	rnn keep prob	eval type
last	0.9	"3,3,16,3,3,32,3,3,64"	"1,2,1,2"	TRUE	none	tanh	TRUE	sgd/0.1	0.1	2	1	1	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	2.919377	0.97766322	0.835960613	0.782126622	0.756380013	0.809687787	0.034654506	0.981274836	0.26508918	0.09150659	0.13420624	0.3861617	3.09969	1.21E+00	1.6250039	4.992436	0.978523367	0.008578119	0.959770092	0.988336343	0.830395509	0.051289545	0.772070788	0.918314702	0.80538377	0.034250502	0.746136865	0.845528455	0.783272958	0.063836073	0.678714859	0.872255489	0.832663355	0.028710781	0.793103448	0.885106383	0.2213123	0.3024933	7.55906E-05	0.87839067	0.983167728	0.00546037	0.972417428	0.989093779	1.3089938	0.11904898	1.1436287	1.4713225	1.070924349	0.101405896	0.909255898	1.220588235	0.795879953	0.036680205	0.734356553	0.835913313	0.794944975	0.053999967	0.708428246	0.868787276	0.800392698	0.050261498	0.698697068	0.862318841	0.19541061	0.18486734	0.010091496	0.3902354	0.764701566	0.054022438	0.680154143	0.823311748	0.799854961	0.037178705	0.731411229	0.839622642	0.740207411	0.096985157	0.574918567	0.873188406	0.19554573	0.004844708	0.19142517	0.20433447	0.796086575	0.034443581	0.735262594	0.838021339	0.761924057	0.066968358	0.653333333	0.851351351	0.839827966	0.046086447	0.780130293	0.919148936	0.13413791	0.13382727	0.000335085	0.27293134	0.774978778	0.041400292	0.709677419	0.835427887	0.761675139	0.051106815	0.666214383	0.819956616	0.796491649	0.07978625	0.653094463	0.889492754	0.042005565	0.000696163	0.041421887	0.043462716		gru	0.6	0.5	hamming
last	0.7	"7,3,10,3,3,20"	"2,2,2,2"	TRUE	none	relu	TRUE	adam/0.0001	1	2	0.7	2.5	FALSE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	3.349363	0.97918716	0.809670769	0.766199065	0.74383917	0.789944904	0.038414694	0.979988374	0.26511097	0.09381924	0.14997682	0.42347074	3.3874977	8.48E-01	2.1867893	5.0222225	0.980105088	0.006845873	0.967169103	0.989093829	0.806989859	0.047186576	0.74272019	0.897631206	0.772678922	0.038730273	0.703624733	0.834495878	0.740699331	0.060993499	0.622641509	0.853437095	0.810994309	0.035911992	0.74267101	0.874468085	0.08235573	0.14264917	0.002731907	0.45483044	0.980427316	0.004647931	0.971363317	0.986297311	1.3093653	0.12415609	1.1618073	1.527253	1.102196389	0.10165314	0.956575682	1.299019608	0.761285304	0.038096323	0.70246085	0.821262458	0.760275184	0.073801757	0.646090535	0.884120172	0.770278235	0.057245468	0.657980456	0.849162011	0.120232224	0.09905592	0.021014767	0.22034469	0.753985793	0.049151199	0.671065033	0.826597132	0.772185298	0.05427532	0.706060606	0.870879121	0.742789207	0.077326798	0.57980456	0.844202899	0.121271655	0.001800324	0.11947294	0.12543255	0.764758806	0.039359891	0.699677072	0.824068018	0.74173689	0.075913303	0.623800384	0.871369295	0.79808666	0.057348133	0.69218241	0.874468085	0.07503853	0.06658219	0.008344778	0.14522453	0.760192062	0.043536833	0.69124424	0.832282472	0.731487114	0.065988447	0.64940239	0.846153846	0.799527375	0.069745889	0.646579805	0.885869565	0.030578814	0.000341584	0.030173328	0.031237667		lstm	0.6	0.5	hamming
rect	0.7	"5,3,10,3,3,20"	"1,2,1,2"	TRUE	none	sigmoid	FALSE	adagrad/0.1	0.25	0	0.8	1	FALSE	FALSE	max	FALSE	N/A	N/A	N/A	N/A		0.09269691	1.0336887	0.98448429	0.854192398	0.816123188	0.805183199	0.827364555	0.26546285	0.984524343	0.09374883	0.022076115	0.06284903	0.1254715	1.0282658	3.23E-01	0.52336645	1.7137325	0.984729909	0.007079988	0.971101402	0.994003782	0.85446647	0.051664673	0.786454255	0.946069234	0.823665353	0.034735391	0.757709251	0.86645768	0.804941001	0.054594153	0.688	0.875792142	0.845789689	0.033455277	0.800362976	0.917021277	0.28523266	0.13024266	0.1279421	0.5393299	0.98502624	0.004317851	0.976282502	0.989954797	1.0985518	0.02427679	1.064866	1.1336828	1.055666482	0.083481544	0.950998185	1.225490196	0.812193725	0.038279306	0.748538012	0.861323155	0.795332686	0.061611245	0.701793722	0.88381201	0.833898872	0.047414962	0.780130293	0.917021277	0.26562786	0.070709996	0.19391209	0.34669474	0.810806481	0.036608155	0.753045404	0.856204859	0.797150402	0.082064553	0.67230444	0.909344491	0.834262986	0.053364	0.7676951	0.931914894	0.26424044	0.001880323	0.26254407	0.268014	0.809106855	0.040887989	0.735468565	0.857711443	0.807190336	0.068116237	0.711670481	0.905686546	0.816314278	0.055323829	0.759803922	0.917021277	0.30759212	0.051088467	0.25490737	0.35987762	0.810183563	0.036487114	0.75273523	0.855271775	0.79365967	0.081925982	0.67230444	0.905686546	0.836799481	0.052757156	0.773139746	0.934042553	0.2577681	0.004072734	0.25466964	lstm	0.5	0.5	hamming
last	0.9	"9,5,10,5,4,20"	"1,2,1,2"	TRUE	layer	tanh	TRUE	sgd/0.1	1	2	0.8	5	TRUE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	2.3603766	0.978015451	0.82519707	0.777003086	0.773730936	0.78030303	0.29807603	0.981408247	0.2660102	0.09335649	0.13586389	0.39349717	2.5115166	9.47E-01	1.2428981	4.05878	0.978885966	0.007384041	0.966204514	0.989943424	0.814889915	0.059814901	0.737602621	0.922970412	0.7979214	0.039990423	0.722994652	0.85483871	0.781272351	0.07176873	0.641366224	0.862068966	0.819909207	0.030978024	0.771324864	0.874468085	0.3732936	0.3577593	0.003316671	0.9139777	0.982929755	0.004687017	0.972856641	0.987630546	1.3104472	0.12238564	1.145526	1.482155	1.059463023	0.115629566	0.894736842	1.291666667	0.78605686	0.043050266	0.71624714	0.853582555	0.76251385	0.062038013	0.67167382	0.857321652	0.814778813	0.047473137	0.718241042	0.869565217	0.22649917	0.18304159	0.042887315	0.41325286	0.767682038	0.046482691	0.694444444	0.842486421	0.760016806	0.055834576	0.646276596	0.826879271	0.783690561	0.083214601	0.638436482	0.880434783	0.22842069	0.002738749	0.2251078	0.23398533	0.783600625	0.043290941	0.711211778	0.851168512	0.752447111	0.060878393	0.661052632	0.843902439	0.821001344	0.047238072	0.729641694	0.871376812	0.19146714	0.15809122	0.032902613	0.3513044	0.767543227	0.043640942	0.703431373	0.841354724	0.744035384	0.062076182	0.618272841	0.821192053	0.80201265	0.079240546	0.656351792	0.894927536	0.14705041	0.002987954	0.14436515	0.15255956		lstm	0.5	0.5	hamming
last	0.7	"3,3,16,3,3,32,3,3,64"	"1,2,1,2"	FALSE	none	relu	FALSE	sgd/0.01	0.25	2	0.9	1	TRUE	TRUE	max	FALSE	N/A	N/A	N/A	N/A		0.10654737	0.94038385	0.983978383	0.847830482	0.819908899	0.794402583	0.847107438	0.26649928	0.984552931	0.10725886	0.01969213	0.080885865	0.14288725	0.9274187	3.15E-01	0.48514125	1.6045636	0.984065506	0.007379359	0.968267103	0.992335954	0.847376363	0.057716559	0.781595377	0.943196923	0.824372759	0.039358664	0.752820513	0.863157895	0.786219964	0.067276064	0.647266314	0.866101695	0.871019764	0.032436051	0.820846906	0.915632754	0.27380246	0.12704694	0.09088874	0.5102007	0.984629926	0.004888007	0.974964863	0.989596039	1.1134386	0.021984804	1.0842471	1.1535997	1.117449677	0.120424626	0.988274707	1.389705882	0.816623951	0.041403481	0.745837958	0.855476345	0.800846183	0.077645566	0.681541582	0.895522388	0.839289068	0.043131359	0.785016287	0.908510638	3.17E-01	4.82E-02	2.66E-01	0.36850882	0.81504371	0.040229518	0.75	0.853174603	0.800759284	0.089493439	0.669230769	0.913597734	0.839647713	0.048012363	0.77676951	0.923404255	3.15E-01	1.63E-03	3.13E-01	3.18E-01	0.815904425	0.043025695	0.739380023	0.856663873	0.799838429	0.060750267	0.695464363	0.875	0.835895856	0.048917716	0.749185668	0.895744681	3.30E-01	1.09E-01	2.20E-01	4.57E-01	0.814471339	0.040044393	0.751345533	0.852047556	0.799357564	0.088940791	0.669865643	0.911016949	0.839954086	0.048103945	0.77676951	0.923404255	3.11E-01	0.001427123	0.30935174	lstm	0.5	0.5	hamming
last	0.8	"5,3,10,3,3,20"	"2,2,2,2"	FALSE	layer	relu	FALSE	adagrad/0.1	0.25	2	0.9	5	FALSE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	2.61835	0.976548258	0.799851241	0.776452566	0.741793853	0.814508724	0.06526735	0.980531547	0.26694155	0.1016619	0.15442736	0.4620315	2.7029023	8.03E-01	1.6999303	3.795017	0.977130271	0.008298582	0.960227736	0.991812926	0.787476412	0.059258627	0.717449018	0.902297372	0.783976268	0.037701194	0.709251101	0.8422345	0.746411705	0.056339369	0.644	0.833535844	0.827479639	0.024916332	0.789215686	0.857621441	0.15050136	0.19483674	0.00706614	0.6364603	0.981148547	0.005080449	0.970836261	0.987556477	1.3128494	0.13710307	1.1669894	1.5872954	1.113829001	0.074500916	1.005444646	1.225490196	0.768935007	0.041836444	0.692033294	0.838263059	0.761913936	0.056419501	0.672055427	0.850574713	0.78134272	0.066400478	0.706840391	0.860335196	0.21771836	0.17387798	0.04337667	0.39332247	0.757577921	0.055330327	0.656042497	0.841523342	0.773889815	0.043105491	0.703539823	0.833333333	0.747991801	0.090747311	0.605392157	0.864130435	0.21833414	0.001851639	0.21612036	0.22108783	0.770760621	0.038721878	0.705749718	0.840686275	0.736188018	0.060551225	0.653444676	0.830508475	0.814345005	0.055850024	0.736156352	0.882681564	0.11164362	0.09210324	0.019286335	0.20630814	0.765940832	0.051067572	0.66835443	0.841346154	0.754456309	0.047698609	0.673184358	0.815850816	0.782996255	0.081295769	0.647058824	0.873188406	0.1187443	0.002734592	0.117177814	0.12588722		gru	1	0.5	hamming
rect	0.8	"7,3,10,3,3,20"	"1,2,1,2"	FALSE	layer	relu	FALSE	sgd/0.1	0.1	0	1	1	TRUE	FALSE	avg	FALSE	N/A	N/A	N/A	N/A		0.106486574	0.8839799	0.982336154	0.850078263	0.812390158	0.778854254	0.848943985	0.2699187	0.983723878	0.10734072	0.029846638	0.06394345	0.15006348	0.9042623	2.45E-01	0.6260728	1.2439156	0.982173997	0.007256096	0.96569922	0.990359018	0.833558076	0.058914681	0.753187681	0.935457214	0.815868605	0.042305902	0.733059548	0.862403101	0.781901468	0.068589878	0.630742049	0.861742424	0.858772252	0.048836201	0.780130293	0.946808511	0.28331536	0.09680447	0.14162265	0.42177933	0.984008467	0.004781712	0.975667604	0.989811294	1.1138089	0.033175964	1.066032	1.161908	1.108862877	0.135059471	0.958257713	1.387254902	0.807716873	0.043761054	0.718061674	0.854251012	0.790718729	0.072467513	0.652	0.886178862	0.830243311	0.043316473	0.762214984	0.89787234	0.3328854	0.03287241	0.2959947	0.36959216	0.806231676	0.043392887	0.718820862	0.848920863	0.790468273	0.0647654	0.668776371	0.876984127	0.826171356	0.045736111	0.744299674	0.879888268	0.3322916	0.002953529	0.32930535	0.33827293	0.806341416	0.04432848	0.715697036	0.85338726	0.784958695	0.072420329	0.648111332	0.883534137	0.833486522	0.041290068	0.768729642	0.89787234	0.31506455	0.023616467	0.29058367	0.3399374	0.806665331	0.043720832	0.718714122	0.850669413	0.794373902	0.064376762	0.676025918	0.883299799	0.822908532	0.048287789	0.739413681	0.879888268	0.34621412	0.003341752	0.34329456	lstm	1	0.5	hamming
rect	0.7	"9,5,10,5,4,20"	"1,1,2,2"	TRUE	layer	sigmoid	TRUE	adagrad/0.1	1	0	1	5	TRUE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	2.3724253	0.978324869	0.81790401	0.773088269	0.764244056	0.782139578	0.2339753	0.980941309	0.2700194	0.09571426	0.1414746	0.39898917	2.495038	9.47E-01	1.3076024	3.9043844	0.979233176	0.007023817	0.965564891	0.989682739	0.812950001	0.052509727	0.747322357	0.914084636	0.793482387	0.036443845	0.71893848	0.836363636	0.77610215	0.044759321	0.70783848	0.845373891	0.813133493	0.043129617	0.730392157	0.891489362	0.34160626	0.29950258	0.002673124	0.8294459	0.982512723	0.004848284	0.972593113	0.9884453	1.3159832	0.12530027	1.1519712	1.4903175	1.049801688	0.063177622	0.978908189	1.187234043	0.783990791	0.036649103	0.713812155	0.827852998	0.762958974	0.062522529	0.649899396	0.861744966	0.812185435	0.053982761	0.695439739	0.882681564	0.27614102	0.25656024	0.019427672	0.54084605	0.765393455	0.04625555	0.680608365	0.835839599	0.7697009	0.048946161	0.683988764	0.844303797	0.771791854	0.095736531	0.583061889	0.882246377	0.27402014	0.002934417	0.27123296	0.28109783	0.784499172	0.038180952	0.706510139	0.825747724	0.757836257	0.071665424	0.625708885	0.867486339	0.820274066	0.049817357	0.723127036	0.893854749	0.29105863	0.28152388	0.009365371	0.57366645	0.765608423	0.045724408	0.68056872	0.835839599	0.767865074	0.050071133	0.678720445	0.844303797	0.77404581	0.094763392	0.584690554	0.884057971	0.26454538	0.008319538	0.2571201	0.28109783		gru	0.8	0.5	hann
rect	0.9	"3,3,16,3,3,32"	"2,2,1,1"	TRUE	none	sigmoid	TRUE	sgd/0.1	0.95	0	0.9	1	FALSE	FALSE	avg	FALSE	N/A	N/A	N/A	N/A		0.11686862	1.1560818	0.981484778	0.859253494	0.811309867	0.815734509	0.806932966	0.27343637	0.98441952	0.11880271	0.03688814	0.07011905	0.17667417	1.1718266	2.86E-01	0.76020306	1.5883609	0.98152029	0.007533153	0.966237308	0.990482707	0.847763155	0.051131354	0.784771503	0.93678363	0.814123102	0.039505563	0.736730361	0.854545455	0.804248102	0.066961934	0.649812734	0.898128898	0.829374522	0.046032831	0.745928339	0.9	0.2724265	0.13430771	0.11095224	0.48867962	0.984363864	0.004560191	0.976194659	0.989667791	1.1269152	0.041656494	1.0726359	1.1932423	1.040303003	0.122430414	0.872958258	1.308823529	0.80331908	0.043742649	0.709443099	0.846733668	0.796533887	0.055947649	0.700956938	0.860465116	0.812881928	0.053016251	0.718137255	0.878723404	0.25018978	0.06248743	0.18647179	0.31848347	0.806535665	0.042856127	0.720467836	0.853977845	0.802209915	0.066747585	0.689038031	0.882828283	0.814860819	0.049112942	0.749185668	0.90212766	0.25034702	0.002893188	0.24802192	0.257387	0.804607813	0.041748302	0.716346154	0.846938776	0.801423547	0.058891217	0.702830189	0.869047619	0.810854374	0.049855365	0.730392157	0.882978723	0.2583347	0.0383239	0.21859415	0.29915112	0.805888497	0.039959985	0.727898967	0.849150849	0.794735023	0.065900799	0.684665227	0.876	0.821567604	0.045910528	0.75732899	0.904255319	0.23050722	0.002436941	0.22810674	lstm	0.7	0.5	hamming
rect	0.8	"3,3,16,3,3,32,3,3,64"	"1,1,2,2"	TRUE	layer	tanh	TRUE	adam/0.001	0.25	2	0.9	1	TRUE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	2.0497317	0.980273892	0.831277049	0.788125991	0.778076063	0.798438935	0.18039837	0.982180124	0.27354705	0.105133824	0.14003524	0.44110262	2.1223633	6.96E-01	1.2116121	3.2684927	0.980564225	0.005272981	0.971390852	0.988819203	0.825282685	0.052370861	0.767738398	0.915485716	0.801058526	0.033871583	0.754504505	0.847396768	0.780466591	0.052159948	0.697916667	0.862745098	0.8246527	0.029423538	0.776872964	0.878411911	0.25954705	0.3110525	0.008969486	0.915134	0.983112859	0.004640619	0.973295854	0.987112066	1.3219585	0.14055133	1.1503143	1.5544202	1.060655773	0.070092695	0.939698492	1.176470588	0.792022533	0.037114946	0.735042735	0.840336134	0.782790714	0.072125675	0.688391039	0.877192982	0.807722722	0.04573839	0.700325733	0.849637681	0.3192616	0.27521837	0.043589704	0.6126854	0.778523964	0.050730267	0.691449814	0.845764855	0.79282653	0.053701437	0.698113208	0.862113402	0.770696429	0.079243507	0.605863192	0.871376812	0.31905165	0.004845618	0.31458214	0.3270388	0.790944373	0.035255532	0.743455497	0.833114323	0.77201598	0.09031867	0.648994516	0.88547486	0.821927564	0.044817306	0.763843648	0.872340426	0.35078463	0.3382952	0.012382205	0.6948532	0.781564895	0.044902266	0.702997275	0.841645885	0.778165092	0.051096092	0.683544304	0.845864662	0.790842618	0.073449309	0.63029316	0.880434783	0.20559785	0.002123551	0.20291056	0.20957495		gru	0.6	0.4	hamming
last	0.8	"3,3,16,3,3,32,3,3,64"	"1,2,1,2"	TRUE	none	sigmoid	FALSE	sgd/0.1	0.75	0	0.7	5	TRUE	TRUE	avg	FALSE	N/A	N/A	N/A	N/A		0.09746744	1.0191739	0.984195679	0.846887711	0.816523005	0.796810138	0.837235996	0.27411488	0.984381403	0.09833637	0.021010043	0.070525296	0.13462253	1.0101304	3.26E-01	0.56519467	1.7413996	0.984628246	0.006852076	0.970085699	0.992310597	0.847498836	0.050335478	0.790122213	0.933422937	0.823501524	0.034213196	0.762513312	0.861669714	0.805217074	0.065676422	0.674199623	0.902439024	0.847220069	0.034215226	0.802931596	0.9	0.3214613	0.13492954	0.12729698	0.61188734	0.984950282	0.004540981	0.975755446	0.989667791	1.1035779	0.023257416	1.0730717	1.1441048	1.060777177	0.113223927	0.89279732	1.301470588	0.815586827	0.034759591	0.75960483	0.855895197	0.786528062	0.059738957	0.687872763	0.860727729	0.850582495	0.034827195	0.783387622	0.90212766	2.73E-01	9.96E-02	1.72E-01	0.3742978	0.813565843	0.034739389	0.75978836	0.845602606	0.791745668	0.081539223	0.668528864	0.890260631	0.845485251	0.04326501	0.79491833	0.914893617	2.73E-01	1.14E-03	2.72E-01	2.75E-01	0.814167566	0.035048585	0.760892667	0.854033291	0.786983262	0.07493404	0.671669794	0.882275132	0.850192671	0.036951083	0.804560261	0.910638298	2.58E-01	3.68E-02	2.21E-01	2.96E-01	0.812137198	0.037807088	0.751046025	0.852733119	0.782980542	0.083390424	0.655109489	0.88518024	0.852273781	0.038670937	0.802177858	0.914893617	2.42E-01	0.002825471	0.23860942	lstm	0.6	0.5	hamming
last	0.7	"3,3,16,3,3,32"	"1,2,1,2,1,2"	FALSE	none	relu	FALSE	sgd/0.1	0.5	0	1	2.5	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	3.3470364	0.978953422	0.825264209	0.776672384	0.773752563	0.779614325	0.06356204	0.981389188	0.2742276	0.07608215	0.17290218	0.38809982	3.5558174	1.21E+00	1.6262017	5.2392344	0.979218405	0.009448226	0.956954151	0.989337215	0.81280446	0.051661655	0.755971332	0.91204007	0.795892784	0.037718529	0.715767635	0.847017129	0.762061695	0.065170801	0.620503597	0.861111111	0.837276193	0.031670545	0.787658802	0.889578164	0.112225205	0.17512514	0.000256257	0.5165351	0.982176831	0.005023823	0.973383696	0.989111918	1.3193271	0.10038551	1.1887498	1.474177	1.108059056	0.116107595	0.914700544	1.362745098	0.782086633	0.045416628	0.687651332	0.836477987	0.784595435	0.058747939	0.679425837	0.867346939	0.782423547	0.054744858	0.696078431	0.843575419	0.19887723	0.19146387	0.007184745	0.4003408	0.753124244	0.069725994	0.611664296	0.844880441	0.797400451	0.04012578	0.728813559	0.846601942	0.720566696	0.109040332	0.526960784	0.85483871	0.20022224	0.002732263	0.19702852	0.2053886	0.784009007	0.042000964	0.694117647	0.836568566	0.775867087	0.063052241	0.667420814	0.867617108	0.796472755	0.052777905	0.723039216	0.868715084	0.18385997	0.1808116	0.002968868	0.3672287	0.767470669	0.053535822	0.651773982	0.845700824	0.756924837	0.049653522	0.660326087	0.811659193	0.785189688	0.090166421	0.607843137	0.890818859	0.035652995	0.000819055	0.034846168	0.037086006		gru	0.6	0.5	hamming
last	0.9	"7,3,10,3,3,20"	"1,2,1,2"	TRUE	none	sigmoid	FALSE	sgd/0.1	0.1	2	0.7	5	TRUE	TRUE	max	FALSE	N/A	N/A	N/A	N/A		0.0980767	0.9167758	0.983714813	0.855636797	0.821555556	0.796080965	0.848714417	0.27623197	0.984695871	0.09887785	0.022981403	0.0674629	0.13496673	0.9315351	2.97E-01	0.6106047	1.531369	0.983502277	0.007491583	0.969288552	0.9945528	0.844894981	0.062374778	0.75690592	0.945027341	0.824166454	0.038654788	0.752391073	0.875921376	0.807212549	0.066791949	0.664165103	0.870775348	0.846212021	0.036863562	0.79491833	0.904255319	0.32873777	0.08966629	0.23348661	0.47437102	0.985136773	0.004407392	0.975667604	0.989883045	1.104223	0.025378378	1.0697905	1.1444987	1.056866635	0.113264288	0.912885662	1.306372549	0.812031517	0.045473863	0.718714122	0.871410737	0.796607406	0.063898889	0.676025918	0.876884422	0.830802396	0.044749706	0.765472313	0.87150838	0.3190472	0.04734795	0.26993078	0.36867383	0.815734138	0.040731129	0.733333333	0.861323155	0.799478067	0.070622301	0.670731707	0.88381201	0.837171019	0.038446236	0.780399274	0.893617021	0.31907183	0.001229876	0.3179533	0.32104883	0.816935753	0.041134421	0.740088106	0.869674185	0.793321254	0.069434688	0.672	0.878481013	0.846366125	0.037849414	0.78584392	0.904255319	0.2923265	0.005445385	0.28486967	0.3017587	0.81619151	0.040519467	0.740088106	0.865615142	0.793542695	0.0699413	0.672	0.880616175	0.844689601	0.037403922	0.78584392	0.904255319	0.29349178	0.003460015	0.29083484	lstm	0.6	0.5	hamming
last	1	"7,3,10,3,3,20"	"2,2,2,2"	TRUE	none	relu	TRUE	sgd/0.1	0.95	2	1	2.5	FALSE	TRUE	max	FALSE	N/A	N/A	N/A	N/A	2.7356226	0.973763165	0.806312809	0.759596875	0.749497207	0.769972452	0.14612322	0.979769199	0.27696556	0.10242086	0.16278172	0.46481574	2.8247066	7.76E-01	1.6014252	3.972287	0.973781862	0.008699423	0.961601587	0.986666224	0.799061604	0.058731593	0.687660003	0.903630448	0.762604523	0.055752493	0.638196916	0.835985312	0.755766387	0.074834279	0.618390805	0.874476987	0.772178701	0.05113116	0.659313725	0.847394541	0.26898167	0.27641752	0.005214644	0.8445968	0.980174876	0.005814952	0.96907941	0.988074957	1.3261576	0.13882422	1.1767797	1.5917208	1.027841417	0.080971042	0.867513612	1.149837134	0.75322629	0.059414684	0.626262626	0.828644501	0.758942849	0.062161174	0.645833333	0.854881266	0.75200809	0.080627537	0.607843137	0.842391304	0.22232229	0.098487735	0.12289822	0.3300012	0.748380621	0.061923551	0.622516556	0.829329962	0.762718923	0.055001037	0.677233429	0.845360825	0.741533832	0.096114891	0.575980392	0.855072464	0.221255	0.002379102	0.21825708	0.22566259	0.750614749	0.057271654	0.622459893	0.825723473	0.727597991	0.090900674	0.552182163	0.857142857	0.782817183	0.055458559	0.713235294	0.874301676	0.21398835	0.19396245	0.019476557	0.41686368	0.750598185	0.059675639	0.626903553	0.83240569	0.740676913	0.057404218	0.65	0.829839704	0.767261221	0.091492621	0.605392157	0.869565217	0.13731915	0.001471976	0.13562718	0.1394215		rnn	0.5	0.5	hamming
rect	1	"5,3,10,3,3,20"	"2,2,1,1"	FALSE	layer	tanh	FALSE	sgd/0.1	0.1	0	0.7	1	TRUE	FALSE	max	FALSE	N/A	N/A	N/A	N/A	6.541616	0.953471242	0.647172591	0.622107438	0.565552216	0.691230487	0.000919074	0.965141654	0.2783895	0.094543055	0.17447837	0.4773362	6.5202656	4.42E-01	5.761078	6.877826	0.954138815	0.019586724	0.909449649	0.968980543	0.685973256	0.07329191	0.586089662	0.820880744	0.654626524	0.044967017	0.588383838	0.732110092	0.640536262	0.089973712	0.526483051	0.809330629	0.684059712	0.074892459	0.609800363	0.811414392	0.001093055	0.000437965	0.000736604	0.001901858	0.969535036	0.010810271	0.950456781	0.978451775	1.3270915	0.13111708	1.190625	1.6117753	1.095328078	0.230895887	0.825795645	1.537459283	0.614420433	0.038282445	0.545317221	0.671895425	0.62842439	0.125089951	0.394104803	0.768976898	0.65061772	0.137903352	0.495744681	0.884803922	0.00098265	1.38E-05	0.00096631	0.000998647	0.615703876	0.037141745	0.542195668	0.665777185	0.630297675	0.127034288	0.38990333	0.767726161	0.651611941	0.136583156	0.510638298	0.889705882	0.000982106	1.63E-06	0.000980589	0.000985669	0.620159582	0.043518196	0.52958153	0.68230818	0.612339646	0.123920822	0.375255624	0.742663657	0.677498583	0.128494634	0.536170213	0.899509804	0.000941477	6.72E-07	0.000940354	0.000942896	0.620250078	0.043514167	0.52958153	0.68230818	0.612446587	0.123802411	0.375255624	0.742663657	0.677498583	0.128494634	0.536170213	0.899509804	0.00094155	5.70E-07	0.000940938	0.000942896		rnn	0.5	1	hamming
